observation_date,inflation
01/01/2013,1.464832656
01/01/2014,1.622222977
01/01/2015,0.118627136
01/01/2016,1.261583206
01/01/2017,2.130110004
01/01/2018,2.442583297
01/01/2019,1.812210075
01/01/2020,1.233584396
01/01/2021,4.697858864
01/01/2022,8.002799821
01/01/2023,4.116338384
